Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,3.550000,3.550000,3.530000,3.540000,3.402463,1600
2021-06-15,3.353000,3.353000,3.350000,3.350000,3.219845,2600
2021-06-16,3.660000,3.720000,3.570000,3.720000,3.575470,12200
2021-06-17,3.608000,3.608000,3.608000,3.608000,3.467821,400
2021-06-18,3.598000,3.598000,3.598000,3.598000,3.458210,2400
2021-06-21,3.598000,3.598000,3.598000,3.598000,3.458210,0
2021-06-22,3.598000,3.598000,3.598000,3.598000,3.458210,0
2021-06-23,3.680000,3.800000,3.680000,3.800000,3.652361,1900
2021-06-24,3.683000,3.683000,3.683000,3.683000,3.539907,200
2021-06-25,3.740000,3.740000,3.740000,3.740000,3.594693,100
2021-06-28,3.680000,3.680000,3.680000,3.680000,3.537024,31500
2021-06-29,3.658000,3.660000,3.658000,3.660000,3.517801,1100
2021-06-30,3.730000,3.730000,3.730000,3.730000,3.585081,600
2021-07-01,3.688000,3.688000,3.688000,3.688000,3.544713,800
2021-07-02,3.600000,3.600000,3.600000,3.600000,3.460132,2600
2021-07-06,3.628000,3.628000,3.628000,3.628000,3.487044,200
2021-07-07,3.638000,3.638000,3.638000,3.638000,3.496656,200
2021-07-08,3.548000,3.548000,3.353000,3.353000,3.222728,300
2021-07-09,3.688000,3.688000,3.666000,3.666000,3.523568,1000
2021-07-12,3.573000,3.590000,3.573000,3.590000,3.450521,1700
2021-07-13,3.410000,3.410000,3.410000,3.410000,3.277514,200
2021-07-14,3.480000,3.490000,3.390000,3.390000,3.258291,4000
2021-07-15,3.330000,3.330000,3.330000,3.330000,3.200622,400
2021-07-16,3.360000,3.430000,3.300000,3.430000,3.296737,4900
2021-07-19,3.430000,3.430000,3.232000,3.325000,3.195817,2600
2021-07-20,3.371000,3.380000,3.290000,3.380000,3.248679,1000
2021-07-21,3.438000,3.438000,3.259000,3.259000,3.132380,600
2021-07-22,3.293000,3.640000,3.290000,3.465000,3.330377,1300
2021-07-23,3.233000,3.430000,3.230000,3.430000,3.296737,2400
2021-07-26,3.358000,3.358000,3.255000,3.350000,3.219845,700
2021-07-27,3.350000,3.350000,3.350000,3.350000,3.219845,0
2021-07-28,3.350000,3.350000,3.350000,3.350000,3.219845,0
2021-07-29,3.558000,3.558000,3.558000,3.558000,3.419764,900
2021-07-30,3.708000,3.708000,3.708000,3.708000,3.563936,700
2021-08-02,3.630000,3.700000,3.550000,3.550000,3.412075,4800
2021-08-03,3.675000,3.675000,3.620000,3.620000,3.479355,2600
2021-08-04,3.720000,3.720000,3.635000,3.635000,3.493772,1300
2021-08-05,3.650000,3.650000,3.650000,3.650000,3.508189,200
2021-08-06,3.660000,3.660000,3.660000,3.660000,3.517801,200
2021-08-09,3.608000,3.610000,3.600000,3.600000,3.460132,2800
2021-08-10,3.580000,3.580000,3.475000,3.475000,3.339988,300
2021-08-11,3.475000,3.475000,3.475000,3.475000,3.339988,0
2021-08-12,3.660000,3.660000,3.660000,3.660000,3.517801,200
2021-08-13,3.470000,3.471000,3.470000,3.471000,3.336144,17400
2021-08-16,3.670000,3.670000,3.670000,3.670000,3.527413,5200
2021-08-17,3.649000,3.649000,3.649000,3.649000,3.507228,1600
2021-08-18,3.649000,3.649000,3.649000,3.649000,3.507228,0
2021-08-19,3.565000,3.565000,3.470000,3.565000,3.426492,5400
2021-08-20,3.565000,3.565000,3.565000,3.565000,3.426492,0
2021-08-23,3.848000,3.850000,3.848000,3.850000,3.700419,2200
2021-08-24,3.474000,3.665000,3.474000,3.665000,3.522607,3500
2021-08-25,3.665000,3.665000,3.665000,3.665000,3.522607,500
2021-08-26,3.625000,3.625000,3.510000,3.510000,3.373629,1800
2021-08-27,3.595000,3.670000,3.595000,3.670000,3.527413,9000
2021-08-30,3.670000,3.670000,3.670000,3.670000,3.527413,0
2021-08-31,3.751000,3.751000,3.751000,3.751000,3.605265,200
2021-09-01,3.620000,3.620000,3.612000,3.612000,3.471666,1700
2021-09-02,3.818000,3.818000,3.818000,3.818000,3.669662,200
2021-09-03,3.573000,3.800000,3.570000,3.570000,3.431298,600
2021-09-07,3.570000,3.570000,3.570000,3.570000,3.431298,0
2021-09-08,3.605000,3.605000,3.605000,3.605000,3.464938,5200
2021-09-09,3.605000,3.605000,3.605000,3.605000,3.464938,0
2021-09-10,3.850000,3.850000,3.850000,3.850000,3.700419,100
2021-09-13,3.640000,3.868000,3.640000,3.868000,3.717720,3100
